"CASEID","POINT_X","POINT_Y","YEAR_","LOCATION","CHPTYPE","DAYWEEK","CRASHSEV","VIOLCAT","KILLED","INJURED","WEATHER1","PEDCOL","BICCOL","MCCOL","TRUCKCOL","ETOH","TIMECAT","MONTH_","CRASHTYP","INVOLVE","PED","PRIMARYRD","SECONDRD","DISTANCE","DIRECT","INTERSECT_","PROCDATE","JURIS","DATE_","TIME_","BADGE","JURIDIST","SHIFT","POP","SPECIAL","BEATTYPE","LAPDDIV","BEATCLAS","BEATNUMB","WEATHER2","STATEHW","CALTRANC","CALTRAND","STROUTE","ROUTESUF","POSTPRE","POSTMILE","LOCATYPE","RAMP","SIDEHW","TOWAWAY","PARTIES","PCF","VIOLCODE","VIOL","VIOLSUB","HITRUN","ROADSURF","RDCOND1","RDCOND2","LIGHTING","RIGHTWAY","CHPRDTYP","NOTPRIV","STFAULT","CHPFAULT","SEVINJ","OTHERINJ","COP","PEDKILL","PEDINJ","BICKILL","BICINJ","MCKILL","MCINJURE","RAMP1","RAMP2","CITY","COUNTY","STATE","X_CHP","Y_CHP"
"4009640",-121.634662102,39.111770137,2008,"5100","3","7","4","03",0,1,"B",,,,,,1200,11,"C","C","A","RT 99","LINCOLN RD",390,"S","N","2009-06-26",9285,"2008-11-02",1131,"01084",,"1","9","0","1",,"1","051","-","Y","SUT",3,99,"-","-",28.6,"H","-","N","Y",2,"A","-",22350,,"N","A","H","-","A","A","0","Y","A","01",0,0,1,0,0,0,0,0,0,"-","-","UNINCORPORATED","SUTTER","CA",0,0
"4009652",-121.634624481,39.109899983,2008,"5100","3","7","4","03",0,1,"B",,,,,,1200,11,"C","C","A","RT 99","LINCOLN RD",1056,"S","N","2009-06-26",9285,"2008-11-02",1040,"01014",,"1","9","0","1",,"1","051","-","Y","SUT",3,99,"-","-",28.47,"H","-","N","Y",2,"A","-",22350,,"N","A","H","-","A","A","0","Y","A","01",0,0,1,0,0,0,0,0,0,"-","-","UNINCORPORATED","SUTTER","CA",0,0
"4009680",-121.634417174,39.097811337,2008,"5100","3","3","4","03",0,1,"A",,,,,,1800,11,"C","C","A","RT 99","BOGUE RD",130,"S","N","2009-06-26",9285,"2008-11-05",1755,"01594",,"2","9","0","1",,"1","051","-","Y","SUT",3,99,"-","-",27.63,"H","-","N","Y",4,"A","-",22350,,"N","A","H","-","C","A","0","Y","A","01",0,0,1,0,0,0,0,0,0,"-","-","UNINCORPORATED","SUTTER","CA",0,0
"4009733",-121.540305896,38.749893956,2008,"5100","3","1","2","12",0,4,"B",,,,,"Y",1200,11,"D","C","A","RT 99","RIEGO RD",0,,"Y","2009-07-09",9285,"2008-11-03",1150,"15048",,"1","9","0","1",,"1","011","-","Y","SUT",3,99,"-","-",0.95,"I","5","N","Y",2,"A","-",21453,"A","N","A","H","-","A","A","5","Y","D","22",1,0,3,0,0,0,0,0,0,"-","-","UNINCORPORATED","SUTTER","CA",0,0
"4009921",-121.66056774,39.273225628,2008,"5101","0","5","2","10",0,1,"A","Y",,,,,2100,11,"G","B","B","RT 99","ELM ST",0,,"Y","2009-07-20",5100,"2008-11-28",2007,"5055","LOCA","5","2","0","0",,"0","02A","E","Y","SUT",3,99,"-","-",40.05,"H","-","S","N",2,"A","-",21950,"A","N","B","H","-","C","A","0","Y","B","07",1,0,0,0,1,0,0,0,0,"-","-","LIVE OAK","SUTTER","CA",0,0
"4012504",-121.623723207,39.1402359009,2008,"5102","0","4","3","09",0,4,"A",,,,,,1500,11,"A","C","A","COOPER AV","ROSALIND AV",0,,"Y","2009-06-29",5102,"2008-11-13",1401,"443","5102","5","4","0","0",,"0","004","-","N",,0,0,,,0,,,,"Y",2,"A","-",21801,"A","N","A","H","-","A","D","0","Y","A","01",0,4,0,0,0,0,0,0,0,"-","-","YUBA CITY","SUTTER","CA",0,0
"4012508",-121.615678383,39.1352119446,2008,"5102","0","5","4","01",0,2,"A",,,,,"Y",1200,11,"C","C","A","BRIDGE ST","PLUMAS ST",106,"W","N","2009-06-27",5102,"2008-11-21",1133,"4046","5102","5","4","0","0",,"0","004","-","N",,0,0,,,0,,,,"Y",4,"A","-",23152,"A","N","A","H","-","A","A","0","Y","A","01",0,0,2,0,0,0,0,0,0,"-","-","YUBA CITY","SUTTER","CA",0,0
"4012516",-121.625065058,39.1321754456,2008,"5102","0","1","4","03",0,1,"B",,,,,,1200,11,"C","C","A","BRIDGE ST","CLARK AV",25,"E","N","2009-06-27",5102,"2008-11-24",921,"4011","5102","5","4","0","0",,"0","004","-","N",,0,0,,,0,,,,"N",2,"A","-",22350,,"N","A","H","-","A","A","0","Y","A","07",0,0,1,0,0,0,0,0,0,"-","-","YUBA CITY","SUTTER","CA",0,0
"4012520",-121.634467417,39.132579413,2008,"5102","0","5","4","03",0,1,"A",,,,,,1500,11,"C","C","A","BRIDGE ST","RT 99",25,"W","N","2009-07-20",5102,"2008-11-14",1427,"4046","5102","5","4","0","0",,"0","002","-","Y","SUT",3,99,"-","-",30.03,"I","6","S","N",2,"A","-",22350,,"N","A","H","-","A","A","0","Y","E","22",0,0,1,0,0,0,0,0,0,"-","-","YUBA CITY","SUTTER","CA",0,0
"4012524",-121.61387051,39.123626709,2008,"5102","0","4","4","09",0,1,"A",,"Y",,,"Y",2100,11,"D","G","A","PERCY AV","WOODBRIDGE AV",42,"W","N","2009-06-27",5102,"2008-11-13",1832,"4076","5102","5","4","0","0",,"0","005","-","N",,0,0,,,0,,,,"N",2,"A","-",21804,"A","N","A","H","-","C","D","0","Y","A","01",0,0,1,0,0,0,1,0,0,"-","-","YUBA CITY","SUTTER","CA",0,0
"4012551",-121.634460621,39.132867048,2008,"5102","0","1","2","01",0,1,"A",,,,"Y","Y",2100,11,"C","C","A","RT 99","BRIDGE ST",0,,"Y","2009-07-09",5102,"2008-11-10",1954,"4044",,"5","4","0","0",,"0","002","-","Y","SUT",3,99,"-","-",30.05,"H","-","S","Y",2,"A","-",23152,"A","N","A","H","-","C","A","0","Y","A","01",1,0,0,0,0,0,0,0,0,"-","-","YUBA CITY","SUTTER","CA",0,0
"4020163",-121.639202909,39.141675692,2008,"5102","0","4","3","03",0,4,"A",,,,,,1800,12,"C","C","A","RT 20","CIVIC CENTER BL",0,,"Y","2009-08-26",5102,"2008-12-11",1709,"4079","5102","5","4","0","0",,"0","002","-","Y","SUT",3,20,"-","R",15.354,"I","5","E","N",4,"A","-",22350,,"N","A","G","-","C","A","0","Y","A","07",0,1,3,0,0,0,0,0,0,"-","-","YUBA CITY","SUTTER","CA",0,0
"4020238",-121.612747924,39.1220436096,2008,"5102","0","5","4","03",0,1,"A",,,,,,1200,11,"C","C","A","GARDEN HWY","PERCY AV",34,"N","N","2009-06-19",5102,"2008-11-21",954,"4046","5102","5","4","0","0",,"0","005","-","N",,0,0,,,0,,,,"N",2,"A","-",22350,,"N","A","H","-","A","A","0","Y","A","01",0,0,1,0,0,0,0,0,0,"-","-","YUBA CITY","SUTTER","CA",0,0
