,male.Demogr.1,female.Demogr.1,male.Demogr.2,female.Demogr.2,male.Demogr.3,female.Demogr.3,male.Demogr.4,female.Demogr.4,,
ageCat1,0.118146328,0.186832053,0.723829275,0.031550481,0.886640408,0.338986778,3.396422422,1.954408199,relative.cycle.time,
ageCat2,2.191399694,0.976108306,2.852115039,1.705766593,3.357022088,2.627308899,8.024766861,3.554601266,,
ageCat3,2.195333259,1,2.644705401,1,2.282417205,1,7.617643695,1,,
ageCat4,1.303875114,0.331831851,2.042091155,0.577811559,0.611551742,0.445307802,1.747111169,1.291211268,,
ageCat5,0.944368183,0.56147561,0.918420729,0.425036942,0.698072715,0.363752897,2.433295335,0.344837545,,
ageCat6,0.405186367,0.223135628,0.887567872,0.307464712,1.023041092,0.256327823,2.728947308,0.772912803,,
ageCat7,0.65897968,0.299447727,1.14422134,0.170154852,0.143226648,0.135630121,0.774147345,0.911880589,,
ageCat8,0.409992982,0.189407837,0.313805154,0.145207127,0.248058746,0.284740338,9.685292447,0.087075031,,
, , , , , , , , , ,
ageCat1,0.99981346,1.000013912,0.998994886,0.999284439,1.000182095,0.999916956,0.999321873,0.99976027,relative.walk.speed,
ageCat2,0.99986881,1.000041812,0.999981188,0.999665656,1.000187607,1.000399818,0.999799275,0.999893892,,
ageCat3,1.000169652,1,0.999968569,1,1.000063356,1,0.999623168,1,,
ageCat4,0.999705828,0.999826892,0.999988323,1.000033364,0.9997967,1.000174957,0.999921614,0.999156376,,
ageCat5,1.000135898,1.000147734,0.999786163,1.000112811,0.99982914,0.999604069,0.999958821,0.999780466,,
ageCat6,0.999762968,1.00032671,1.000450985,0.999888396,1.000167083,0.999630879,1.000409909,0.999648602,,
ageCat7,0.999169713,0.999554515,1.000532556,0.999963295,1.000670492,0.9995244,0.999287753,1.000358277,,
ageCat8,0.99973009,1.000652263,0.99932199,1.000491807,0.999556035,1.001190054,0.999480917,1.000729839,,
, , , , , , , , , ,
ageCat1,1.000647988,0.999195516,1.000346611,0.997349337,1.000104644,1.000342599,1.000329491,0.999628391,relative.cycle.speed,
ageCat2,0.999959723,0.999742919,0.999903722,1.000157242,0.999912621,1.000095936,0.999499523,0.999989472,,
ageCat3,1.000120625,1,1.000048474,1,1.000023841,1,0.999943473,1,,
ageCat4,1.000143783,0.999853969,0.999941152,1.000098572,1.000412391,1.00014846,0.999209483,0.999341964,,
ageCat5,0.999986132,1.000148407,1.000178939,1.000085189,0.999847939,1.000313342,1.000227576,1.000860978,,
ageCat6,1.00033076,1.000221118,1.000791422,0.999846142,0.999919116,1.000263715,0.999284427,0.999503046,,
ageCat7,1.000024748,1.00043606,1.000491319,0.999663353,1.001291272,0.999966813,0.999406596,0.999628391,,
ageCat8,1.000601802,1.000523803,1.000285197,1.00098719,0.998775667,0.999549812,0.9994652,0.99243682,,
