,male.Demogr.1,female.Demogr.1,male.Demogr.2,female.Demogr.2,male.Demogr.3,female.Demogr.3,male.Demogr.4,female.Demogr.4,,
ageCat5,0.635522456,0.855583842,0.655778916,0.792332767,0.708164379,0.822776498,0.786318801,0.882948199,,
ageCat6,0.543502692,0.716231322,0.638148607,0.787827792,0.779272352,0.854760427,0.671438722,0.890747236,,
ageCat7,0.559876667,0.650595487,0.723296616,0.756918448,0.724341599,0.717748739,0.862797791,0.792834611,,
ageCat8,0.460152709,0.669325255,0.749149447,0.803303738,0.611571484,0.65050863,0.652681462,0.566872614,,
, , , , , , , , , ,
ageCat1,0.055712547,0.020318597,0.082527663,0.063380502,0.237301965,0.155597401,0.386115026,0.149746659,relative.cycle.time,
ageCat2,0.260759319,0.176149335,0.571691153,0.349991633,1.142025796,0.718229823,1.338547808,0.842581969,,
ageCat3,1.286158749,1,1.229646473,1,1.619482912,1,2.096050285,1,,
ageCat4,0.382146052,0.277494732,0.528693435,0.385795631,0.920685697,0.507764082,1.035885568,0.541532148,,
ageCat5,0.297693875,0.270456339,0.453981111,0.219255201,0.564526692,0.450901979,0.644578782,0.45836199,,
ageCat6,0.123844171,0.091036385,0.237824319,0.262623244,0.597810587,0.460502059,0.764639177,0.686285128,,
ageCat7,0.109115553,0.153770204,0.308985896,0.122919745,0.739152461,0.21748345,0.430659144,0.278711905,,
ageCat8,0.069357027,0.043598249,0.5229716,0.210003669,0.3020951,0.175828813,0.416933961,0.145661496,,
, , , , , , , , , ,
ageCat1,1.000436542,1.000392228,0.999810602,0.999592446,1.000201359,0.999935216,1.000101805,0.999525724,relative.walk.speed,
ageCat2,1.000026201,1.000126611,1.000071797,1.000164757,1.000103298,1.000100658,0.999969405,0.999878989,,
ageCat3,0.999923517,1,1.000131512,1,0.999995225,1,1.000102318,1,,
ageCat4,0.999893968,1.000045387,1.000198945,1.000112078,1.000239402,1.000063725,0.999738061,0.999775189,,
ageCat5,1.000080823,1.000156262,1.000134401,1.000072932,1.000180245,0.99980729,0.999819365,0.99984532,,
ageCat6,0.99978922,0.999867671,1.000149753,1.000049316,0.999972679,1.000168057,0.999558104,0.999451501,,
ageCat7,1.000227574,1.000266867,1.0001205,0.999999012,1.00014695,0.999759708,0.999417607,0.999938478,,
ageCat8,1.000048731,0.999998656,0.999893668,1.000183731,1.000162101,0.99981847,1.000028478,0.999802164,,
, , , , , , , , , ,
ageCat1,0.999755372,1.000110673,1.00040197,1.000035798,0.999985288,0.999618482,1.000295138,1.000000257,relative.cycle.speed,
ageCat2,0.99995873,0.999993513,1.000063115,1.000178601,1.000039906,1.000165438,0.999940255,1.000053143,,
ageCat3,1.000019607,1,1.000069539,1,1.000033866,1,0.999975394,1,,
ageCat4,0.999918758,1.000105534,0.999996093,0.999965663,0.999887972,1.000049216,0.999974114,0.999922192,,
ageCat5,0.999990639,1.000109267,1.000025543,1.000001388,1.000011937,1.000000149,0.99999865,1.000025321,,
ageCat6,0.999940831,1.000008307,1.000135736,0.999987706,0.999957436,0.999985532,0.999985184,0.99992981,,
ageCat7,1.000128787,0.999984706,1.000164322,0.999901218,1.000017782,1.000000794,0.999965269,0.999927481,,
ageCat8,0.999926453,1.000255699,0.999998175,1.00021765,1.00008597,0.999894269,0.999797029,1.000373375,,
,,,,,,,,,,
ageCat1,0.168798166,0.224159319,0.431298898,0.351459576,0.380629862,0.389461835,0.533587112,0.377636745,relative.walk.time,YUB
ageCat2,1.622905022,1.755859236,2.42649931,2.470348451,1.713530578,2.023516373,1.917547333,2.541228641,,
ageCat3,0.897155853,1,1.163681171,1,0.693759538,1,0.881855828,1,,
ageCat4,0.677518415,0.953092551,0.924308755,0.957527048,0.662158089,0.892935236,0.877768974,0.819907351,,
ageCat5,0.50417706,0.635136633,0.763554269,0.808046542,0.489348727,0.708133375,0.708649154,0.86949436,,
ageCat6,0.503339118,0.408667574,0.499312613,0.614169767,0.534845438,0.542084784,0.633129553,0.404670337,,
ageCat7,0.311066261,0.304320822,0.530577016,0.684395049,0.37349968,0.383998534,0.962185817,0.850047766,,
ageCat8,0.371462783,0.411369111,0.293784908,0.540077009,0.370326659,0.22422175,0.179975801,0.239849751,,
, , , , , , , , , ,
ageCat1,0.207568592,0.421413044,0.38813976,0.073630911,0.898588168,0.101607834,3.228139428,0.089903664,relative.cycle.time,
ageCat2,2.723586608,1.011686149,1.877456066,1.254128254,6.725940904,2.457682032,5.370196965,1.969355897,,
ageCat3,2.084731717,1,1.861124918,1,3.332425693,1,3.54374774,1,,
ageCat4,1.825733739,0.535647278,1.008808221,0.632942785,1.744264286,0.834758594,2.950939591,0.67277122,,
ageCat5,0.434989759,0.396321618,0.636396864,0.225668656,1.988728782,0.796724867,1.122750856,0.501755725,,
ageCat6,0.535690554,0.12262778,0.75109894,0.125962497,1.285719315,0.230865149,0.47666036,0.673955813,,
ageCat7,0.678305837,0.167379322,0.323306123,0.115793155,1.819373495,0,0.391064712,0,,
ageCat8,0.026540496,0.257771261,0.459971674,0.303818331,0,0.557215294,0,1.262130076,,
, , , , , , , , , ,
ageCat1,0.999735183,0.998932182,1.000125588,1.001220362,0.999927076,1.000301075,0.998796728,1.000687526,relative.walk.speed,
ageCat2,0.999911061,1.000302668,0.999917922,1.000016296,0.999908287,0.999812578,0.999189477,1.000187104,,
ageCat3,0.999982327,1,1.000296539,1,0.999928223,1,0.999575069,1,,
ageCat4,1.000704491,1.000152068,1.000239855,0.999912752,0.999795709,0.999625933,0.99916042,0.999028043,,
ageCat5,1.000026545,0.999678535,1.000061191,0.999666114,0.999356112,0.999327864,0.99990079,0.999685057,,
ageCat6,1.000432398,0.999464495,1.00036358,1.000117936,0.999946714,1.00038078,1.000136011,1.000471523,,
ageCat7,1.000220613,0.999998396,0.999977416,0.999788252,1.000538839,0.998628021,0.998988447,0.998905107,,
ageCat8,0.998894137,1.00029836,0.998998021,1.000396476,1.000212446,0.999484229,1.000636426,1.000042047,,
, , , , , , , , , ,
ageCat1,1.000504745,0.999816314,1.001030538,0.997577251,1.000222754,0.995345559,0.999520887,0.995352697,relative.cycle.speed,
ageCat2,1.000062649,0.999623548,1.000164373,1.000261718,0.999751743,0.999660839,0.99987547,0.999439294,,
ageCat3,0.999959436,1,1.000339054,1,0.999577211,1,0.999738204,1,,
ageCat4,0.999883599,0.999625687,0.999928309,1.000206625,0.999912966,0.999469152,0.999579288,1.000025994,,
ageCat5,0.999743853,1.000583077,1.000219046,1.000038031,0.999408048,0.999788116,0.999706346,0.999776486,,
ageCat6,0.999820089,0.998889938,1.000310897,0.999079438,0.999555847,1.000949974,1.000255077,0.999654785,,
ageCat7,1.000280692,1.000031169,1.000097765,0.999211442,0.999748543,0,0.996056388,0,,
ageCat8,0.998309655,1.000090982,0.999480483,1.000186758,0,0.99777126,0,1.000070452,,
