,male.Demogr.1,female.Demogr.1,male.Demogr.2,female.Demogr.2,male.Demogr.3,female.Demogr.3,male.Demogr.4,female.Demogr.4,,
ageCat7,0.611057159,0.572019214,0.646110105,0.786988287,0.654132704,0.780384087,0.866177007,0.951121113,,
ageCat8,0.473207069,0.622340271,0.626660546,0.888461002,0.517360359,0.829164966,0.858751856,0.973869411,,
, , , , , , , , , ,
ageCat1,0.047739756,0.019927644,0.089820419,0.058733543,0.277144566,0.111717095,0.337916598,0.138895583,relative.cycle.time,
ageCat2,0.223574995,0.179499518,0.592640344,0.379691632,1.277474044,0.740147561,1.381864002,0.910297806,,
ageCat3,1.283901919,1,1.296891956,1,1.732348983,1,1.861652334,1,,
ageCat4,0.368591091,0.245021549,0.543241141,0.334282028,1.077742668,0.584421849,0.926895069,0.453450324,,
ageCat5,0.221492665,0.158275768,0.376044466,0.18617065,0.730759448,0.439115514,0.686347008,0.374065406,,
ageCat6,0.10567316,0.069974152,0.239338628,0.229357872,0.5246121,0.27154529,0.564007539,0.424110198,,
ageCat7,0.075105373,0.101002781,0.255418843,0.149266295,0.463593866,0.190721785,0.497258325,0.254104804,,
ageCat8,0.054499993,0.048523439,0.36518569,0.159122864,0.363336421,0.175821209,0.310936519,0.172559308,,
, , , , , , , , , ,
ageCat1,0.999719815,1.000803978,1.000135063,1.000469557,1.000226164,1.00035743,0.999997772,0.999764714,relative.walk.speed,
ageCat2,0.999866809,0.999900924,1.000036747,0.999944281,1.000147297,1.000005073,0.999955339,0.999821898,,
ageCat3,0.99986001,1,0.999936804,1,0.999907456,1,0.999889072,1,,
ageCat4,1.000176285,0.999878791,1.000066246,1.00012058,0.999796915,0.999892812,0.999904497,0.999915897,,
ageCat5,0.999860166,1.000013682,1.000044445,0.999858927,0.999854502,1.000086989,0.999632269,0.999703059,,
ageCat6,0.999741133,0.999811691,0.999620645,0.999867727,1.000122788,1.000458225,1.000137485,0.999769986,,
ageCat7,0.999752014,1.000033345,0.999490631,1.000231958,1.000203283,1.000179551,0.999262758,0.999514511,,
ageCat8,1.00004322,1.000074566,1.000682368,1.000263573,0.999573952,1.000107951,0.999719428,1.000212984,,
, , , , , , , , , ,
ageCat1,0.999842442,0.999931474,0.999272023,1.000303411,1.000509258,0.999820565,1.000205188,0.999710915,relative.cycle.speed,
ageCat2,0.999673558,0.999949152,1.000099755,1.000084939,1.000038285,1.000092931,1.000034804,1.000062082,,
ageCat3,0.999939469,1,0.999998197,1,1.000018973,1,0.999989959,1,,
ageCat4,0.999935264,0.999903394,0.999942405,0.999947483,0.999963513,0.999946742,1.000069418,1.000051129,,
ageCat5,0.999920321,0.999821268,1.00000752,1.000133831,0.999956438,1.000019446,0.999992059,1.000038082,,
ageCat6,0.999710081,0.999841405,1.000160659,1.000110262,1.000015591,0.999783181,1.000038626,1.000172661,,
ageCat7,0.999375848,0.999595041,0.999804542,0.999787505,0.999827755,1.000348131,1.000085146,0.999801098,,
ageCat8,0.999830381,0.999663446,1.000073426,0.999967317,0.999899465,1.000250017,0.999788529,1.000264601,,
,,,,,,,,,,
ageCat1,0.225162504,0.265923403,0.492626902,0.310903983,0.358743681,0.537604103,0.34176193,0.219581919,relative.walk.time,YUB
ageCat2,1.840419373,1.619876544,2.553110398,2.583197474,1.916883124,2.19223182,2.202804872,2.385342634,,
ageCat3,0.923262587,1,1.125067764,1,0.976196416,1,0.737866383,1,,
ageCat4,0.51446787,0.737282603,0.638603098,0.94753976,0.730206248,0.674088294,0.428914334,1.064792919,,
ageCat5,0.515332912,0.693159096,0.619064985,0.726229102,0.629150994,0.812456181,0.820834784,0.672674084,,
ageCat6,0.430950716,0.423622705,0.468055536,0.542195341,0.519120379,0.591088147,0.446717902,0.585913365,,
ageCat7,0.295823042,0.412646987,0.228279995,0.40447778,0.57691172,0.430732253,0.281963187,0.181591029,,
ageCat8,0.422867633,0.483031891,1.041517222,0.414886814,0.502544802,0.896813275,0.733638133,0.62655738,,
, , , , , , , , , ,
ageCat1,0.205650181,0.132147452,0.557382709,0.113284023,0.636802315,0.529679126,0.424894905,0.430671817,relative.cycle.time,
ageCat2,2.827975962,1.204619709,2.771561723,1.038923899,7.375473372,2.28742631,2.415657091,0.962140827,,
ageCat3,2.124983729,1,1.645095779,1,3.994426048,1,1.592174701,1,,
ageCat4,1.792768601,0.37854414,1.040998814,0.602551196,2.27346223,1.343370054,0.097498185,0.078156496,,
ageCat5,0.677063,0.517425823,0.845514005,0.147801911,1.47461626,0.448357228,0.148872786,0.057825743,,
ageCat6,0.269728624,0.155107423,0.395006197,0.245443135,1.304732533,0,0.432205181,0.140533197,,
ageCat7,0.431637379,0.24941728,0.77419776,0.114876321,0.087558442,0,0.140302797,0,,
ageCat8,0.52570503,0.408630805,0.388797186,0.215849594,0,0.234404962,0,0,,
, , , , , , , , , ,
ageCat1,0.998994991,0.999518554,1.000005809,0.999707605,1.000635996,1.000164272,1.003966756,1.002298764,relative.walk.speed,
ageCat2,1.000156973,1.000173015,0.999644488,0.999943968,1.000175661,0.99977588,1.000831845,1.000757421,,
ageCat3,1.000065453,1,0.999739192,1,0.99990212,1,1.001417685,1,,
ageCat4,1.000216514,1.000056701,0.999217871,0.999288874,0.99987437,1.000019532,1.000643651,1.000759939,,
ageCat5,1.000442508,0.999655056,0.999994937,0.999942356,0.999898509,0.999864373,1.001119373,1.000725851,,
ageCat6,1.000746537,1.000201065,1.000341348,0.999808039,0.999722383,0.999701825,1.001285381,1.000800938,,
ageCat7,1.000397595,0.999178601,1.00053107,0.998841632,1.000809886,1.000476134,1.000505541,1.001356249,,
ageCat8,1.000823643,1.000362248,0.999513277,1.000717294,0.998204,0.99991531,1.00065765,0.998847253,,
, , , , , , , , , ,
ageCat1,1.000484424,1.000109639,0.999879251,1.000729278,1.001347392,1.002037736,1.000278861,0.999439868,relative.cycle.speed,
ageCat2,0.999879708,0.999809548,1.000004528,0.999928762,1.000882519,1.000681904,1.000151901,0.999673904,,
ageCat3,1.000040149,1,1.000084132,1,1.000496369,1,1.000015106,1,,
ageCat4,0.999988143,1.000345264,1.000062553,1.000129449,1.000776307,1.00050383,1.001680989,1.000036193,,
ageCat5,1.000281082,0.999849648,0.999978569,1.000689153,1.00043907,0.999726501,0.999790785,0.999414666,,
ageCat6,0.999877261,1.00088997,0.999755888,0.999234183,1.000590217,0,1.000960208,0.999728205,,
ageCat7,0.999293778,0.999238005,1.000079569,1.000352225,1.007653207,0,0.998055923,0,,
ageCat8,0.999211998,1.000477128,0.999301193,0.998872384,0,1.003466445,0,0,,
