,male.Demogr.1,female.Demogr.1,male.Demogr.2,female.Demogr.2,male.Demogr.3,female.Demogr.3,male.Demogr.4,female.Demogr.4,,
ageCat7,0.999834301,1.000372358,0,0,0.99990149,0.999935042,0.998018464,1.000337049,,
ageCat8,0.999514254,1.000003079,0,0,1.000037152,0.999766654,1.001422296,1.000297811,,
, , , , , , , , , ,
ageCat1,1.000002823,0.999943755,1.003114,0,0.999739761,1.000154673,1.00031129,0.999678057,relative.cycle.speed,
ageCat2,1.000017518,0.999694684,1.001524617,1.000814683,1.000498865,1.00041801,0.999904298,0.999956671,,
ageCat3,1.000091244,1,1.001621271,1,1.000350951,1,1.000031053,1,,
ageCat4,1.000049345,0.999959599,1.00248998,1.001325895,1.000407162,1.000740388,1.000037333,1.00015772,,
ageCat5,0.999903354,0.999966011,1.001010899,0,1.000496504,1.000223915,1.000178697,0.999597768,,
ageCat6,0.999808586,0.999597241,0,0,0.999789212,1.000630729,1.000208151,1.000313351,,
ageCat7,0.999630928,0.99967518,0,0,1.00072745,1.0007971,0.999380364,1.001699033,,
ageCat8,1.000507687,1.000063856,0,0,1.001170873,1.001467767,0.999721167,1.000767773,,
,,,,,,,,,,
ageCat1,0.375183831,0.285772343,0,0,0.329208411,0.417960473,0.240817598,0.280789489,relative.walk.time,YOL
ageCat2,1.315293275,1.352122094,0.682282433,0,1.128529787,1.402754367,1.260895941,1.249200682,,
ageCat3,0.769750257,1,0.465398888,1,0.787602207,1,0.797330382,1,,
ageCat4,0.708720714,0.795917145,0.293998827,0.764463771,0.610957388,0.860994601,0.541535212,0.790947976,,
ageCat5,0.575569273,0.756494718,0.354067644,0.40475519,0.534406465,0.774206238,0.700609036,0.765540033,,
ageCat6,0.600260311,0.787291722,0.127320021,0.625693013,0.566237222,0.792254924,0.492241374,0.711484563,,
ageCat7,0.665292103,0.737950442,0.29426282,0.492620988,0.422018208,0.658519469,0.721754626,0.62953027,,
ageCat8,0.510850901,0.790823779,0.347666301,0.5362946,0.603510773,0.818131615,0.73360533,0.680516613,,
, , , , , , , , , ,
ageCat1,0.140594849,0.061988752,0,0,0.090464264,0.034290466,0.09097034,0.045457438,relative.cycle.time,
ageCat2,0.593126099,0.393445907,0.323816289,0,0.457411974,0.336528448,0.494804524,0.315137614,,
ageCat3,1.361432138,1,0.399117156,1,1.336552531,1,1.408336041,1,,
ageCat4,0.531265457,0.272201266,0.162400719,0.150668604,0.369961246,0.22171919,0.488545138,0.302596768,,
ageCat5,0.35636684,0.196473499,0.192005611,0.080896323,0.320943034,0.161950846,0.299304091,0.220740068,,
ageCat6,0.269265951,0.169079624,0.124602993,0.023532736,0.149178108,0.154515572,0.189004796,0.144256447,,
ageCat7,0.209942364,0.132685988,0.102808015,0.05171248,0.163840512,0.045938502,0.164342121,0.178011438,,
ageCat8,0.195772156,0.0906538,0.042490368,0,0.095286574,0.085766997,0.210221897,0.100493593,,
, , , , , , , , , ,
ageCat1,0.999736485,0.999991227,0,0,1.000103449,1.000408182,1.000258533,1.000373204,relative.walk.speed,
ageCat2,0.999854452,0.999829279,0.999827286,0,1.000208403,0.999922853,1.000017958,0.999961712,,
ageCat3,0.999972523,1,1.000238613,1,0.999701578,1,0.999898796,1,,
ageCat4,0.999762295,0.999953521,1.001080676,1.000030895,1.000164868,0.999798811,1.000102245,1.00000435,,
ageCat5,0.999751506,0.999817166,0.999993296,0.999870127,0.999790856,0.999963414,0.999923484,0.999991653,,
ageCat6,0.999886402,0.999992262,0.998203065,1.000014551,1.000077519,0.999808012,1.000012716,0.99976691,,
ageCat7,0.999654273,0.999971117,0.999696988,1.000341256,0.999818167,0.99989664,0.999614888,1.000200296,,
ageCat8,1.000001436,1.000070119,1.001218348,0.997163703,1.000163863,0.999547842,0.999988236,1.00064134,,
, , , , , , , , , ,
