"CASEID","POINT_X","POINT_Y","YEAR_","LOCATION","CHPTYPE","DAYWEEK","CRASHSEV","VIOLCAT","KILLED","INJURED","WEATHER1","PEDCOL","BICCOL","MCCOL","TRUCKCOL","ETOH","TIMECAT","MONTH_","CRASHTYP","INVOLVE","PED","PRIMARYRD","SECONDRD","DISTANCE","DIRECT","INTERSECT_","PROCDATE","JURIS","DATE_","TIME_","BADGE","JURIDIST","SHIFT","POP","SPECIAL","BEATTYPE","LAPDDIV","BEATCLAS","BEATNUMB","WEATHER2","STATEHW","CALTRANC","CALTRAND","STROUTE","ROUTESUF","POSTPRE","POSTMILE","LOCATYPE","RAMP","SIDEHW","TOWAWAY","PARTIES","PCF","VIOLCODE","VIOL","VIOLSUB","HITRUN","ROADSURF","RDCOND1","RDCOND2","LIGHTING","RIGHTWAY","CHPRDTYP","NOTPRIV","STFAULT","CHPFAULT","SEVINJ","OTHERINJ","COP","PEDKILL","PEDINJ","BICKILL","BICINJ","MCKILL","MCINJURE","RAMP1","RAMP2","CITY","COUNTY","STATE","X_CHP","Y_CHP"
"6864627",-121.4464772,38.6221473,2015,"3404","0","4","3","03",0,1,"A",,,,,,2400,3,"E","I","A","ACACIA AV","RIO LINDA BL",84,"W","N","2015-04-07",3404,"2015-03-19",2110,"8112","2","5","7","0","0",,"0","00B","-","N",,0,0,,,0,,,,"Y",1,"A","-",22350,,"N","A","H","-","C","D","0","Y","A","01",0,1,0,0,0,0,0,0,0,"-","-","SACRAMENTO","SACRAMENTO","CA",0,0
"6864587",-121.4440156,38.647536,2015,"3404","0","5","4","03",0,2,"A",,,,,,1800,3,"C","C","A","BELL AV","MAY ST",272,"W","N","2015-04-07",3404,"2015-03-20",1709,"8112","2","5","7","0","0",,"0","00A","-","N",,0,0,,,0,,,,"Y",2,"A","-",22350,,"N","A","H","-","A","D","0","Y","A","01",0,0,2,0,0,0,0,0,0,"-","-","SACRAMENTO","SACRAMENTO","CA",0,0
"6864583",-121.4648947,38.5250089,2015,"3404","0","6","4","03",0,2,"A",,,,,,900,3,"C","C","A","FRUITRIDGE RD","MARTIN LUTHER KING JR BL",72,"W","N","2015-04-07",3404,"2015-03-21",832,"345","6A","5","7","0","0",,"0",,"-","N",,0,0,,,0,,,,"Y",2,"A","-",22350,,"N","A","H","-","A","A","0","Y","A","07",0,0,2,0,0,0,0,0,0,"-","-","SACRAMENTO","SACRAMENTO","CA",0,0
"6864579",-121.4739406,38.6112375,2015,"3404","0","4","4","03",0,3,"A",,,,,,2100,3,"C","C","A","WEST EL CAMINO AV","NORTHGATE BL",461,"E","N","2015-04-07",3404,"2015-03-26",1813,"8112","1","5","7","0","0",,"0","00C","-","N",,0,0,,,0,,,,"N",2,"A","-",22350,,"N","A","H","-","A","D","0","Y","A","01",0,0,3,0,0,0,0,0,0,"-","-","SACRAMENTO","SACRAMENTO","CA",0,0
"6864438",-121.2061086,38.6999332,2015,"3400","5","3","3","01",0,1,"A",,,,,"Y",600,3,"E","I","A","OAK AV","WALNUT AV",27,"E","N","2015-04-08",9260,"2015-03-18",345,"18691",,"3","9","0","3",,"2","003","-","N",,0,0,,,0,,,,"Y",1,"A","-",23152,"A","M","A","H","-","C","A","0","Y","D","22",0,1,0,0,0,0,0,0,0,"-","-","UNINCORPORATED","SACRAMENTO","CA",-121.12218,38.416
"6864430",-121.2719493,38.6407362,2015,"3400","4","5","4","03",0,1,"B",,,,,,1200,3,"C","C","A","SUNRISE BL","FAIR OAKS BL",224,"N","N","2015-04-20",9260,"2015-03-20",930,"012718",,"1","9","0","2",,"2","301","-","N",,0,0,,,0,,,,"Y",2,"A","-",22350,,"N","A","H","-","A","A","0","Y","A","01",0,0,1,0,0,0,0,0,0,"-","-","UNINCORPORATED","SACRAMENTO","CA",0,0
"6864414",0,0,2015,"3400","4","4","4","12",0,1,"A",,,,,,1500,3,"B","C","A","SUNRISE BL","BOSPHORUS DR",2,"S","N","2015-04-20",9260,"2015-03-19",1405,"013664",,"2","9","0","2",,"2","103","-","N",,0,0,,,0,,,,"Y",2,"A","-",21453,"A","N","A","H","-","A","A","0","Y","D","22",0,0,1,0,0,0,0,0,0,"-","-","UNINCORPORATED","SACRAMENTO","CA",0,0
"6864402",-121.2465483,38.5066506,2015,"3400","3","1","4","03",0,1,"A",,,,,,1800,3,"C","C","A","RT 16","SUNRISE BL",1056,"W","N","2016-09-07",9260,"2015-03-23",1710,"16352",,"2","9","0","1",,"2","116","-","Y","SAC",3,16,"-","T",11.27,"H","-","E","Y",3,"A","-",22350,,"N","A","H","-","A","D","0","Y","A","01",0,0,1,0,0,0,0,0,0,"-","-","UNINCORPORATED","SACRAMENTO","CA",-121.24379,38.50599
"6864303",-121.4014333,38.6026114,2015,"3400","4","2","2","01",0,1,"A",,,"Y",,"Y",2100,3,"F","A","A","FULTON AV","COTTAGE WY",300,"S","N","2015-04-07",9250,"2015-03-03",1845,"17818",,"2","9","0","2",,"1","043","-","N",,0,0,,,0,,,,"N",1,"A","-",23152,"A","N","A","H","-","C","D","0","Y","C","02",1,0,0,0,0,0,0,0,1,"-","-","UNINCORPORATED","SACRAMENTO","CA",0,0
"6864133",0,0,2015,"3496","0","1","4","09",0,2,"B",,,,,,1200,3,"D","C","A","AUBURN BL","WHYTE AV",142,"S","N","2015-04-08",3496,"2015-03-16",918,"145",,"5","5","0","0",,"0","001","-","N",,0,0,,,0,,,,"Y",2,"A","-",21804,"A","N","A","H","-","A","A","0","Y","A","07",0,0,2,0,0,0,0,0,0,"-","-","CITRUS HEIGHTS","SACRAMENTO","CA",0,0
"6864105",-121.4384349,38.4743151,2015,"3404","0","1","2","11",0,1,"A","Y",,,,,2100,3,"G","B","D","MACK RD","CENTER PKWY",410,"W","N","2015-04-08",3404,"2015-03-16",2059,"8204","5","5","7","0","0",,"0","00C","-","N",,0,0,,,0,,,,"Y",2,"A","-",21955,,"N","A","H","-","C","D","0","Y","N","60",1,0,0,0,1,0,0,0,0,"-","-","SACRAMENTO","SACRAMENTO","CA",0,0
"6864101",-121.395933,38.5251838,2015,"3404","0","3","3","01",0,3,"A",,,,,"Y",2400,3,"C","C","A","FRUITRIDGE RD","84TH ST",40,"W","N","2015-04-08",3404,"2015-03-25",2216,"0280",,"5","7","0","0",,"0","06C","-","N",,0,0,,,0,,,,"Y",3,"A","-",23153,"A","N","A","H","-","C","A","0","Y","A","01",0,1,2,0,0,0,0,0,0,"-","-","SACRAMENTO","SACRAMENTO","CA",0,0
"6864014",-121.1607821,38.6772675,2015,"3401","0","5","3","01",0,1,"A",,,,,"Y",300,3,"E","I","A","WALES DR","PRICE WY",171,"S","N","2015-04-07",3401,"2015-03-20",203,"227","CA034","5","5","0","0",,"0","002","-","N",,0,0,,,0,,,,"Y",1,"A","-",23152,"A","M","A","H","-","C","D","0","Y","A","01",0,1,0,0,0,0,0,0,0,"-","-","FOLSOM","SACRAMENTO","CA",0,0
"6863999",-121.5046831,38.6313651,2015,"3404","0","1","4","03",0,1,"A",,,,,,1200,3,"D","C","A","TRUXEL RD","RT 80",0,,"Y","2016-09-22",3404,"2015-03-16",950,"506","1","5","7","0","0",,"0","00B","-","Y","SAC",3,80,"-","M",3.444,"R","4","E","Y",2,"A","-",22350,,"N","A","H","-","A","A","0","Y","A","01",0,0,1,0,0,0,0,0,0,"-","-","SACRAMENTO","SACRAMENTO","CA",0,0
